AccidentNumber,Category1,Category2
201600000106,Four-Wheeler,VL
201600000107,Four-Wheeler,VL
201600000108,Four-Wheeler,VL
201600000109,Four-Wheeler,VU
201600000110,Four-Wheeler,VL
201600000111,Four-Wheeler,VL
201600000112,Four-Wheeler,VL
201600000113,Four-Wheeler,VL
201600000114,Four-Wheeler,VL
201600000114,Four-Wheeler,VL
201600000115,Four-Wheeler,VL
201600000116,Four-Wheeler,VL
201600000117,Four-Wheeler,VL
201600000118,Four-Wheeler,Moped
201600000119,Four-Wheeler,VL
201600000120,Four-Wheeler,VL
201600000122,Four-Wheeler,VL
201600000122,Four-Wheeler,VL
201600000122,Four-Wheeler,VL
201600000123,Four-Wheeler,VL
201600000124,Four-Wheeler,VL
201600000124,Three-Wheeler,Motor tricycle
201600000125,Four-Wheeler,VL
201600000126,Four-Wheeler,VL
201600000126,Four-Wheeler,VL
201600000127,Four-Wheeler,VL
201600000127,Four-Wheeler,VL
201600000129,Four-Wheeler,VL
201600000130,Four-Wheeler,VU
201600000131,Four-Wheeler,VL
201600000133,Four-Wheeler,VL
201600000134,Four-Wheeler,VL
201600000135,Four-Wheeler,VL
201600000136,Four-Wheeler,VL
201600000138,Four-Wheeler,VL
201600000139,Four-Wheeler,VL
201600000139,Four-Wheeler,VL
201600000140,Four-Wheeler,VL
201600000142,Four-Wheeler,VL
201600000143,Four-Wheeler,Moped
201600000144,Four-Wheeler,VU
201600000145,Four-Wheeler,Moped
201600000147,Four-Wheeler,Moped
201600000147,Four-Wheeler,VL
201600000149,Four-Wheeler,VL
201600000150,Four-Wheeler,VL
201600000151,Four-Wheeler,VL
201600000152,Four-Wheeler,VL
201600000156,Four-Wheeler,VL
201600000157,Four-Wheeler,VL
201600000158,Four-Wheeler,VL
201600000159,Four-Wheeler,VL
201600000159,Four-Wheeler,Bicycle
201600000160,Four-Wheeler,VL
201600000161,Four-Wheeler,Moped
201600000161,Four-Wheeler,Moped
201600000162,Four-Wheeler,VL
201600000163,Four-Wheeler,VL
201600000163,Four-Wheeler,VL
201600000163,Four-Wheeler,VL
201600000164,Four-Wheeler,Bicycle
201600000164,Four-Wheeler,VU
201600000165,Four-Wheeler,VL
201600000166,Four-Wheeler,VL
201600000167,Four-Wheeler,Bicycle
201600000167,Four-Wheeler,VL
201600000168,Four-Wheeler,VL
201600000169,Four-Wheeler,Moped
201600000169,Four-Wheeler,VL
201600000170,Four-Wheeler,VL
201600000171,Four-Wheeler,VU
201600000174,Four-Wheeler,VL
201600000174,Four-Wheeler,VL
201600000175,Four-Wheeler,VL
201600000175,Four-Wheeler,VL
201600000177,Four-Wheeler,VL
201600000179,Four-Wheeler,VL
201600000180,Four-Wheeler,VL
201600000181,Four-Wheeler,VL
201600000182,Four-Wheeler,VL
201600000182,Four-Wheeler,VL
201600000183,Four-Wheeler,VU
201600000183,Four-Wheeler,VL
201600000186,Four-Wheeler,Moped
201600000187,Four-Wheeler,VL
201600000189,Four-Wheeler,VL
201600000189,Four-Wheeler,VL
201600000189,Four-Wheeler,VL
201600000190,Four-Wheeler,VL
201600000191,Four-Wheeler,VL
201600000192,Four-Wheeler,VL
201600000192,Four-Wheeler,VL
201600000194,Four-Wheeler,VU
201600000194,Four-Wheeler,VU
201600000195,Four-Wheeler,VL
201600000196,Four-Wheeler,VL
201600000197,Four-Wheeler,VL
201600000197,Four-Wheeler,VL
201600000198,Four-Wheeler,VL
201600000198,Four-Wheeler,VL
201600000198,Four-Wheeler,VL
201600000200,Four-Wheeler,VU
201600000201,Four-Wheeler,VL
201600000201,Four-Wheeler,VU
201600000202,Four-Wheeler,VU
201600000203,Four-Wheeler,VL
201600000204,Four-Wheeler,VL
201600000204,Four-Wheeler,VL
201600000205,Four-Wheeler,VL
201600000206,Four-Wheeler,Bicycle
201600000206,Four-Wheeler,VU
201600000207,Four-Wheeler,VL
201600000208,Four-Wheeler,Bicycle
201600000209,Four-Wheeler,Bicycle
201600000210,Four-Wheeler,VL
201600000213,Four-Wheeler,VL
201600000214,Four-Wheeler,VL
201600000214,Four-Wheeler,VL
201600000215,Four-Wheeler,VL
201600000216,Four-Wheeler,VL
201600000216,Four-Wheeler,VU
201600000217,Four-Wheeler,VL
201600000220,Four-Wheeler,VL
201600000221,Four-Wheeler,VU
201600000221,Four-Wheeler,VU
201600000222,Four-Wheeler,VL
201600000223,Four-Wheeler,VL
201600000224,Four-Wheeler,VL
201600000224,Four-Wheeler,VL
201600000224,Four-Wheeler,VL
201600000227,Four-Wheeler,VL
201600000228,Four-Wheeler,VL
201600000228,Four-Wheeler,VL
201600000229,Four-Wheeler,VL
201600000229,Three-Wheeler,Motor tricycle
201600000230,Four-Wheeler,VU
201600000231,Four-Wheeler,VL
201600000233,Four-Wheeler,VL
201600000233,Four-Wheeler,Bicycle
201600000235,Four-Wheeler,VL
201600000235,Four-Wheeler,VL
201600000236,Four-Wheeler,VL
201600000237,Four-Wheeler,VL
201600000238,Four-Wheeler,VL
201600000238,Four-Wheeler,VL
201600000239,Four-Wheeler,VL
201600000240,Four-Wheeler,VL
201600000240,Four-Wheeler,VL
201600000240,Four-Wheeler,VL
201600000241,Four-Wheeler,VU
201600000242,Four-Wheeler,VL
201600000242,Four-Wheeler,VU
201600000243,Four-Wheeler,VL
201600000244,Four-Wheeler,VL
201600000245,Four-Wheeler,VL
201600000245,Four-Wheeler,VL
201600000246,Four-Wheeler,VU
201600000247,Four-Wheeler,VL
201600000249,Four-Wheeler,VL
201600000249,Four-Wheeler,VU
201600000250,Four-Wheeler,VL
201600000251,Four-Wheeler,VL
201600000252,Four-Wheeler,VU
201600000253,Four-Wheeler,VL
201600000253,Four-Wheeler,VL
201600000254,Four-Wheeler,VL
201600000254,Four-Wheeler,VL
201600000255,Four-Wheeler,VL
201600000255,Four-Wheeler,VU
201600000256,Four-Wheeler,VL
201600000256,Four-Wheeler,VL
201600000258,Four-Wheeler,VU
201600000259,Four-Wheeler,Moped
201600000260,Four-Wheeler,VL
201600000260,Four-Wheeler,VU
201600000261,Four-Wheeler,VL
201600000261,Four-Wheeler,VL
201600000262,Four-Wheeler,VL
201600000262,Four-Wheeler,VU
201600000263,Four-Wheeler,VL
201600000264,Four-Wheeler,VL
201600000265,Four-Wheeler,VL
201600000267,Four-Wheeler,VL
201600000268,Four-Wheeler,VL
201600000268,Four-Wheeler,VL
201600000269,Four-Wheeler,VL
201600000270,Four-Wheeler,VL
201600000271,Four-Wheeler,VL
201600000274,Four-Wheeler,VL
201600000274,Four-Wheeler,VL
201600000275,Four-Wheeler,VL
201600000276,Four-Wheeler,VL
201600000277,Four-Wheeler,Moped
201600000277,Four-Wheeler,Moped
201600000278,Four-Wheeler,VL
201600000279,Four-Wheeler,VL
201600000280,Four-Wheeler,VL
201600000281,Four-Wheeler,VL
201600000282,Four-Wheeler,VL
201600000283,Four-Wheeler,VL
201600000283,Three-Wheeler,Motor tricycle
201600000284,Four-Wheeler,VL
201600000285,Four-Wheeler,Bicycle
201600000285,Four-Wheeler,VL
201600000286,Four-Wheeler,Bicycle
201600000287,Four-Wheeler,VL
201600000288,Four-Wheeler,VL
201600000288,Four-Wheeler,VL
201600000289,Four-Wheeler,VL
201600000290,Four-Wheeler,VL
201600000291,Four-Wheeler,VL
201600000292,Four-Wheeler,VL
201600000293,Three-Wheeler,Motor tricycle
201600000293,Four-Wheeler,VL
201600000295,Four-Wheeler,Bicycle
201600000295,Four-Wheeler,VU
201600000297,Four-Wheeler,VU
201600000297,Four-Wheeler,VL
201600000298,Four-Wheeler,VU
201600000299,Four-Wheeler,VL
201600000300,Four-Wheeler,VL
201600000300,Four-Wheeler,VL
201600000301,Four-Wheeler,VL
201600000301,Four-Wheeler,VL
201600000302,Four-Wheeler,VL
201600000303,Four-Wheeler,VU
201600000303,Four-Wheeler,VL
201600000304,Four-Wheeler,VU
201600000304,Four-Wheeler,Bicycle
201600000305,Four-Wheeler,VL
201600000305,Four-Wheeler,VL
201600000305,Four-Wheeler,VL
201600000306,Four-Wheeler,VL
201600000307,Four-Wheeler,VL
201600000307,Four-Wheeler,VL
201600000308,Four-Wheeler,VL
201600000309,Four-Wheeler,VL
201600000310,Four-Wheeler,VL
201600000311,Four-Wheeler,VL
201600000312,Four-Wheeler,VL
201600000313,Four-Wheeler,VL
